nama,pengalamankerja,usia,nilaites1,nilaites2,hasilevaluasi
Ryley Billyeald,14,55,58,86,DITOLAK
Feliks Boas,18,38,73,63,DIPERTIMBANGKAN
Pattie Cavell,16,54,95,53,DITOLAK
Carl Blackborow,20,29,79,70,DIPERTIMBANGKAN
Tobi Sparrow,17,28,62,46,DIPERTIMBANGKAN
Darb Desesquelle,4,37,50,91,DIPERTIMBANGKAN
Dexter Harler,8,54,71,85,DITOLAK
Kalina Hurdle,25,37,64,79,DITOLAK
Fredra Grossier,9,44,84,97,DIPERTIMBANGKAN
Kay Crudgington,15,25,100,80,DITERIMA
Abbe Clutheram,19,28,45,84,DITERIMA
Maurine Alldred,10,37,90,70,DITOLAK
Reine Franzettoini,13,46,66,82,DITOLAK
Nona Boddis,14,31,58,100,DITERIMA
Odele Scamadine,13,33,49,96,DITERIMA
Euphemia Hodges,3,46,60,83,DIPERTIMBANGKAN
Maureene Spender,25,25,67,82,DITERIMA
Miranda Kloss,2,39,58,86,DITOLAK
Sharia Moore,12,29,78,100,DITOLAK
Darrick Laible,17,34,92,91,DIPERTIMBANGKAN
Aleta Denerley,29,55,66,51,DIPERTIMBANGKAN
Mavra Fenix,29,44,50,91,DITOLAK
Marty Girardi,13,32,78,87,DIPERTIMBANGKAN
Misti Perfili,23,48,68,97,DITOLAK
Ashleigh Yakunchikov,5,28,67,81,DITERIMA
Brietta Born,22,43,53,69,DITERIMA
Jonah Van Der Vlies,7,38,45,69,DITERIMA
Hunt Oulner,1,42,92,61,DITERIMA
Marcelle Folkes,0,44,48,79,DIPERTIMBANGKAN
Laina Ellard,24,49,81,69,DITOLAK
Obadias Asche,4,43,51,73,DITOLAK
Agustin Bastin,10,53,92,47,DITERIMA
Rabi Braithwait,28,28,67,69,DITERIMA
Leigha McDill,10,33,75,52,DIPERTIMBANGKAN
Myriam Van de Velde,20,54,69,99,DITOLAK
Leila Borne,11,29,80,56,DITOLAK
Alphonse Paulsson,14,33,52,69,DITOLAK
Nicolais O'Flaverty,14,44,72,89,DITOLAK
Clarie Heaford,25,49,69,86,DITERIMA
Alphonso Drayn,14,51,77,73,DITERIMA
Amelie Pickthall,19,27,72,69,DIPERTIMBANGKAN
Cathleen Gaspard,7,44,72,53,DIPERTIMBANGKAN
Jewell Cotton,11,37,56,79,DITOLAK
Dalt Solano,4,41,71,62,DIPERTIMBANGKAN
Ingmar Farrans,14,33,52,62,DITOLAK
Ross Curnow,4,27,74,74,DITERIMA
Ronny Glayzer,19,51,63,89,DIPERTIMBANGKAN
Emilia Woodhead,24,46,57,66,DITERIMA
Cash McParland,19,35,59,75,DITOLAK
Thacher Linskey,9,42,80,46,DITOLAK
Tomas Sandell,14,54,62,45,DITOLAK
Libbie Prosch,17,50,84,98,DITERIMA
Aubrie Scoullar,26,29,59,94,DIPERTIMBANGKAN
Jesus Robshaw,6,45,89,80,DITERIMA
Giulia Stockill,16,31,75,51,DITERIMA
Austin Drinkall,22,35,63,86,DITOLAK
Stillman Bennetto,5,39,85,83,DITOLAK
Lula Doogue,19,30,78,75,DIPERTIMBANGKAN
Urbain Lynch,27,38,75,61,DITERIMA
Rem Gadsdon,16,38,85,92,DITERIMA
Martguerita Chew,20,28,98,79,DITERIMA
Gwendolin Paddison,10,42,98,93,DITOLAK
Dee Kelleher,1,42,78,77,DITOLAK
Clair Whelan,27,47,98,100,DITOLAK
Tabina O'Hallihane,26,50,53,85,DITOLAK
Michele O'Collopy,24,36,64,50,DITERIMA
Lazaro Tonbridge,8,34,76,77,DITERIMA
Trace Axe,12,40,52,65,DITERIMA
Errol Roseaman,17,30,60,78,DIPERTIMBANGKAN
Amata Ching,18,37,87,64,DITERIMA
Neill Schroeder,30,28,73,99,DITERIMA
Xenia Smidmoor,10,46,66,92,DITOLAK
Carry Antcliff,0,36,68,57,DITOLAK
Dane Carlan,14,42,56,46,DIPERTIMBANGKAN
Clair Dallicoat,25,43,96,62,DITOLAK
Berget Jillett,9,50,61,72,DITERIMA
Lillis Largen,18,54,82,70,DIPERTIMBANGKAN
Clayborne Sinclaire,8,38,84,85,DIPERTIMBANGKAN
Delainey Spry,27,48,63,95,DIPERTIMBANGKAN
Elfrieda Charrier,16,25,93,100,DIPERTIMBANGKAN
Lannie Laugharne,13,27,45,69,DIPERTIMBANGKAN
Conn Ivankov,12,38,87,88,DITERIMA
Petr St Louis,24,48,100,54,DIPERTIMBANGKAN
Rey Bluschke,16,38,73,65,DITOLAK
Ardeen Zack,6,32,55,78,DIPERTIMBANGKAN
Dione Wrankling,7,39,72,45,DITOLAK
Templeton Thoms,21,52,93,93,DIPERTIMBANGKAN
Tremayne Moxley,15,47,98,90,DITERIMA
Esmaria Denys,4,47,62,99,DITERIMA
Nevile Hasney,16,50,74,71,DITOLAK
Lauri Syvret,3,37,86,71,DITERIMA
Claresta Gon,8,49,68,49,DIPERTIMBANGKAN
Riane Lyster,16,46,56,91,DITERIMA
Shellie Antley,0,27,74,100,DIPERTIMBANGKAN
Nels Batiste,18,32,87,78,DIPERTIMBANGKAN
Frederic Lassey,19,54,89,98,DIPERTIMBANGKAN
Elbertina Lathleiffure,17,26,81,50,DIPERTIMBANGKAN
Neal Brown,12,53,52,87,DIPERTIMBANGKAN
Gery Delacroux,25,34,86,48,DITERIMA
Chico Goundry,22,41,76,57,DITOLAK
Wilbert Hadwin,9,42,90,81,DITOLAK
Orion Garr,13,43,81,61,DIPERTIMBANGKAN
Blinni Govey,17,26,50,80,DITOLAK
Gleda Zohrer,3,35,99,55,DITOLAK
Reine Risdale,11,27,57,80,DITOLAK
Wilton Coldham,28,45,56,96,DITERIMA
Fremont Parnaby,21,41,96,65,DITERIMA
Coriss Haithwaite,29,50,54,95,DITERIMA
Putnem Simons,13,51,47,92,DITERIMA
Dosi Siward,19,37,47,46,DITOLAK
Steward Ohlsen,27,36,70,81,DIPERTIMBANGKAN
Torey Crudge,27,50,62,69,DIPERTIMBANGKAN
Evangelin Dri,18,49,90,71,DITOLAK
Colline Glidder,8,37,81,87,DITERIMA
Meggi Schonfeld,22,25,62,66,DIPERTIMBANGKAN
Noni Billett,8,39,63,63,DITOLAK
Meggi Ivanyushin,11,50,96,76,DIPERTIMBANGKAN
Trever Duckels,27,45,85,54,DIPERTIMBANGKAN
Gerladina Lackington,20,53,81,61,DIPERTIMBANGKAN
Vivianne Dicke,19,29,61,68,DIPERTIMBANGKAN
Marcella Arnould,5,30,99,69,DIPERTIMBANGKAN
Sadella Petriello,25,51,58,74,DITOLAK
Catriona Andrea,8,44,99,70,DITOLAK
Wilma Ruggier,30,46,92,95,DITERIMA
Tremayne Gallard,21,44,52,79,DIPERTIMBANGKAN
Gwynne Chatto,24,32,90,76,DIPERTIMBANGKAN
Arlan Begwell,15,47,72,57,DITOLAK
Meredithe Moggach,19,28,100,45,DITOLAK
Brandtr Jamrowicz,4,43,91,71,DITERIMA
Celestine McShee,20,38,45,60,DITERIMA
Avie Scurlock,15,33,98,69,DITOLAK
Hildegarde Doorly,25,38,50,51,DIPERTIMBANGKAN
Eartha O'Kennedy,13,45,61,82,DIPERTIMBANGKAN
Curtice Orrah,17,32,58,87,DITERIMA
Julee Pease,25,43,61,76,DITOLAK
Clara Lagden,19,31,95,54,DITERIMA
Alana Marr,14,31,75,93,DITOLAK
Sybilla Lupson,2,36,48,96,DIPERTIMBANGKAN
Traver McCurlye,2,40,93,64,DITOLAK
Anthe Wyett,19,54,52,49,DITOLAK
Kara-lynn Walstow,27,49,58,65,DIPERTIMBANGKAN
Maitilde MacCorley,12,33,60,99,DITOLAK
Trina Gregoretti,13,47,50,82,DITERIMA
Kally Riccardi,22,36,71,86,DIPERTIMBANGKAN
Alasteir O'Brian,17,39,61,98,DITOLAK
Shandie Lakey,19,30,81,62,DIPERTIMBANGKAN
Sorcha Durning,9,33,95,89,DITOLAK
Aubrie Eaden,22,54,84,94,DITERIMA
Elfreda Saura,29,50,62,66,DITERIMA
Rubina Duplan,0,28,70,56,DIPERTIMBANGKAN
Innis Pogson,0,44,45,59,DIPERTIMBANGKAN
Odelia Wollacott,3,37,64,66,DITOLAK
Diandra Wickstead,18,37,77,54,DITERIMA
Trudey St Clair,11,35,80,74,DITOLAK
Jefferey Amner,3,55,59,77,DIPERTIMBANGKAN
Enrika Silburn,23,31,72,50,DITOLAK
Othella Spurman,28,49,98,95,DITOLAK
Anastassia Sellstrom,24,27,65,80,DITERIMA
Elizabet Blackadder,21,31,86,79,DIPERTIMBANGKAN
Nellie Lemonby,7,35,78,63,DIPERTIMBANGKAN
Steward MacCague,14,50,100,51,DIPERTIMBANGKAN
Valdemar Witcherley,1,51,81,91,DITOLAK
Ursuline Maffini,18,42,95,69,DIPERTIMBANGKAN
Pearline Meese,14,31,96,66,DITOLAK
Abbe O'Heneghan,11,51,95,47,DITERIMA
Dev Petrie,0,26,93,56,DITOLAK
Mal McCotter,22,52,72,79,DITERIMA
Aundrea Parade,4,44,61,79,DITOLAK
Celina O'Neary,21,36,100,53,DITERIMA
Marcellus Stellino,14,26,98,76,DITOLAK
Elmer Manginot,8,37,46,92,DITOLAK
Clim Tillerton,1,43,64,53,DITOLAK
Garwood Shaddock,24,26,56,83,DIPERTIMBANGKAN
Melessa Asals,18,41,77,79,DITERIMA
Chere Huie,28,27,54,67,DIPERTIMBANGKAN
Danila Lumsden,15,31,54,69,DITERIMA
Boony Sporle,25,41,77,56,DIPERTIMBANGKAN
Boniface Dohmer,10,50,56,86,DITOLAK
Kaia Connold,10,45,70,55,DITERIMA
Jessika Siviter,26,32,58,94,DITOLAK
Corey Braam,13,35,63,65,DIPERTIMBANGKAN
Fredrick Wadlow,3,28,99,77,DITOLAK
Heath Abthorpe,29,46,71,93,DITERIMA
Jude Guido,26,47,90,76,DIPERTIMBANGKAN
Trudi Ivamy,28,54,92,85,DITERIMA
Aleda Wrathall,19,30,93,85,DITOLAK
Rand Penvarden,30,44,51,49,DITOLAK
Skipton Piwell,30,37,53,66,DIPERTIMBANGKAN
Archy Sudworth,7,55,97,56,DIPERTIMBANGKAN
Waverley Bedward,22,48,52,57,DITOLAK
Frederigo Ennever,13,32,93,56,DITOLAK
Chicky Josham,18,33,45,99,DITERIMA
George Burmaster,25,44,55,59,DITERIMA
Martguerita Berceros,19,45,77,47,DITOLAK
Casandra Seabrooke,27,27,80,53,DIPERTIMBANGKAN
Jolyn Ferriman,11,28,86,76,DITERIMA
Garfield Eversley,14,47,45,52,DITOLAK
Amii Killock,5,55,65,63,DIPERTIMBANGKAN
Edlin Burgoin,6,43,95,59,DIPERTIMBANGKAN
Rutter Huckle,12,54,79,68,DIPERTIMBANGKAN
Brynn Luno,21,53,45,84,DIPERTIMBANGKAN
Sarine Cawdery,4,42,87,52,DIPERTIMBANGKAN
Cullin Moncreiff,22,37,54,86,DITERIMA
Corrina Coyne,19,35,48,78,DITOLAK
Matty Winnard,29,39,55,80,DITOLAK
Brittani Lanston,17,40,72,55,DITERIMA
Neal Delepine,13,28,97,77,DIPERTIMBANGKAN
Falito Robel,10,25,55,85,DIPERTIMBANGKAN
Maude Ber,22,47,77,51,DITOLAK
Tome Calterone,2,52,63,79,DITOLAK
Nickey Hodgen,10,46,70,63,DIPERTIMBANGKAN
Gaylord Kryska,7,41,60,71,DITOLAK
Raymund Bale,28,42,99,96,DITOLAK
Ariana Rispine,5,27,57,73,DITOLAK
Wat Trainor,21,35,95,51,DITERIMA
Suzette Renouf,21,28,82,77,DIPERTIMBANGKAN
Kellyann Cotgrove,8,37,88,52,DIPERTIMBANGKAN
Barnie Murtell,6,30,51,54,DITERIMA
Lemuel Cossey,13,27,93,86,DITOLAK
Celle Archibold,14,49,47,90,DIPERTIMBANGKAN
Freddy Donner,19,39,83,72,DIPERTIMBANGKAN
Marley Humblestone,17,53,56,63,DITOLAK
Sheela Garlick,2,47,52,56,DITOLAK
Myra Friedank,11,32,61,86,DITERIMA
Sherwin Mathouse,27,49,80,68,DITOLAK
Elbert McCumskay,1,35,46,62,DIPERTIMBANGKAN
Joan Guise,1,45,54,60,DITERIMA
Rosana Probart,29,47,67,58,DIPERTIMBANGKAN
Olenolin Goward,25,43,84,48,DITOLAK
Victor Groves,15,55,77,84,DITERIMA
Brett Krook,25,47,100,54,DITOLAK
Preston Orrom,7,35,59,84,DITERIMA
Chrissy Brambill,0,48,81,85,DITOLAK
Akim McGrane,1,29,99,84,DITOLAK
Chloe Giacubo,20,52,47,62,DIPERTIMBANGKAN
Rossie Corbie,10,38,71,57,DITERIMA
Kris Guite,27,40,74,52,DIPERTIMBANGKAN
Nanete Habershon,15,45,69,58,DIPERTIMBANGKAN
Vikky Dearl,4,30,84,86,DITOLAK
Norma Setch,6,46,63,96,DITERIMA
Liesa Crawshaw,21,46,55,89,DIPERTIMBANGKAN
Brodie Shaxby,0,51,100,57,DITOLAK
Damaris Harwell,1,43,52,82,DITERIMA
Jorey Defau,4,37,89,94,DITERIMA
Carleen Barefoot,13,26,46,50,DITERIMA
Jilly Caulder,0,35,74,50,DITERIMA
Benson Ward,2,36,59,62,DITOLAK
Glory Greeves,15,53,51,84,DITERIMA
Kean Gibben,22,29,81,89,DIPERTIMBANGKAN
Wilie Odney,15,27,92,49,DIPERTIMBANGKAN
Evey Bendle,19,52,49,51,DITERIMA
Ardyce Sollett,6,43,83,46,DIPERTIMBANGKAN
Morie McKeeman,16,50,92,66,DITERIMA
Deny Aizikovitch,10,37,58,78,DIPERTIMBANGKAN
Tiphanie Rawlence,22,49,80,93,DIPERTIMBANGKAN
Arvie Fairlam,10,33,83,90,DIPERTIMBANGKAN
Florri Ponten,16,38,99,86,DITERIMA
Igor Pllu,25,30,80,54,DIPERTIMBANGKAN
Monro Wadforth,6,25,92,94,DIPERTIMBANGKAN
Lemar Tayt,5,44,72,81,DIPERTIMBANGKAN
Lela McGeaney,16,35,93,82,DIPERTIMBANGKAN
Reena Clarkin,4,42,46,50,DIPERTIMBANGKAN
Trueman Pepin,5,49,90,87,DIPERTIMBANGKAN
Gregory Charlton,30,32,83,65,DIPERTIMBANGKAN
Wallache Bolte,9,41,81,47,DITOLAK
Eba McHugh,24,42,75,87,DIPERTIMBANGKAN
Mayne Grinyer,21,50,54,86,DIPERTIMBANGKAN
Jody Sallings,8,43,87,95,DITERIMA
Maegan Rochewell,4,54,65,95,DIPERTIMBANGKAN
Rickie Tongs,29,36,68,76,DITERIMA
Sula Curedell,26,49,80,99,DITERIMA
Sylvia Opfer,3,41,81,55,DITERIMA
Henrie Blabber,28,55,92,67,DITOLAK
Lolita Fishpoole,4,38,85,75,DITOLAK
Massimiliano Wallsworth,16,34,86,45,DITERIMA
Lacie Slorach,0,37,92,56,DITOLAK
Travus Maxsted,27,37,76,83,DITERIMA
Aldo McCreadie,8,46,67,70,DIPERTIMBANGKAN
Broddie Gravet,14,28,58,68,DIPERTIMBANGKAN
Nathanial Hackworthy,25,41,93,75,DITOLAK
Bary Winnister,15,28,71,64,DIPERTIMBANGKAN
Silvester Bertenshaw,29,55,81,85,DIPERTIMBANGKAN
Berkly Maylin,21,32,56,100,DITERIMA
Codi Blumson,21,52,77,68,DITOLAK
Grethel O'Halleghane,26,29,93,68,DITERIMA
Paula Garstan,26,43,77,94,DIPERTIMBANGKAN
Harriett Scraggs,21,45,65,77,DITOLAK
Rahal Gierardi,29,43,63,46,DITOLAK
Ammamaria Fredy,3,27,53,53,DIPERTIMBANGKAN
Spike Eggers,17,52,55,74,DITOLAK
Tyson Simonett,13,52,78,93,DIPERTIMBANGKAN
Correna Walkden,21,37,97,55,DITOLAK
Noah Channing,13,42,77,99,DITOLAK
Anestassia Finden,29,25,69,90,DITERIMA
Gregor Tedridge,14,44,51,100,DITOLAK
Mufi Tuison,2,31,71,89,DIPERTIMBANGKAN
Lishe Rentelll,7,43,70,100,DITERIMA
Berkly Angear,26,43,53,72,DITERIMA
Bendite Dankersley,28,25,91,79,DITOLAK
Pat Soda,20,54,86,93,DITERIMA
Rafaela Ormonde,0,29,71,90,DITOLAK
Dollie Slessor,11,32,98,99,DITOLAK
Russ Kob,20,44,88,91,DITOLAK
Karina Bedle,7,52,77,67,DITOLAK
Calvin Mille,2,55,49,59,DITOLAK
Tedman Scurfield,28,32,58,69,DITERIMA
Karlotta Serraillier,6,44,80,86,DITOLAK
Erica Meredith,1,35,57,66,DIPERTIMBANGKAN
Marius Sterte,14,49,59,88,DIPERTIMBANGKAN
Leslie Scothorn,8,32,92,88,DITERIMA
Bowie De Caville,16,35,80,91,DITOLAK
Manuel Wildsmith,12,48,93,94,DITERIMA
Curtice MacColm,20,46,85,87,DITERIMA
Staffard Dewfall,20,47,92,47,DITERIMA
Steven Lowey,11,42,90,45,DIPERTIMBANGKAN
Lothaire Blackie,26,37,52,76,DITERIMA
Eolande Southcombe,29,52,88,72,DITERIMA
Glory Shovlar,4,55,83,95,DITOLAK
Ofelia Zaczek,18,52,50,97,DITERIMA
Jo Moutray Read,22,52,86,50,DITOLAK
Vernor Robelet,20,45,98,59,DITERIMA
Dani Spier,17,46,75,88,DITERIMA
Alexandr Corwood,14,40,50,64,DIPERTIMBANGKAN
Jerrie Lum,20,55,76,89,DITOLAK
